PLK1	0	0.1630508762000004
TUFM	0	0.11272703700000006
EIF3C	0	0.09736251439999999
FANCF	1	0.12045620000000112
NAT10	1	0.08462928660000017
LGR4	1	0.06830939119999922
RPS6KB1	2	0.09509635819999968
PRKCA	2	0.09309359999999975
RAD51C	2	0.09270635839999983
FANCC	3	0.1427202000000019
NCBP1	3	0.11592068799999924
XPA	3	0.06424162900000023
FANCA	4	0.08482400000000039
MC1R	4	0.018099200000000044
DEF8	4	0.006404999999999996
CDK18	5	0.1158118641999999
SNRPE	5	0.05999728300000005
PIK3C2B	5	0.05486117539999982
FANCD2	6	0.10163125760000041
RPL32	6	0.09842916999999975
IRAK2	6	0.07217791040000096
MAPK14	7	0.1602935835999985
FANCE	7	0.15560300000000143
MAPK13	7	0.13079049039999896
CCNA1	8	0.09887897799999944
RFC3	8	0.07920961839999978
FOXO1	8	0.07809200000000004
ERCC4	9	0.1564165826000018
RPS15A	9	0.10507091040000037
SMG1	9	0.101359015
BLM	10	0.15958779719999783
FURIN	10	0.08752723119999976
CIB1	10	0.07455510839999968
CREBBP	11	0.12416132000000037
TRAP1	11	0.12229161199999948
MGRN1	11	0.07253879999999967
